Job Role,Job description,Required skills,Years of experience required,Company name,Location,Date posted
Junior Financial Analyst,"Requirements: - Ongoing/complete Bachelor’s or Master’s degree in Finance or Real Estate.
What you will be doing: - Executing financial analyses and conducting…","Requirements: - Ongoing/complete Bachelor’s or Master’s degree in Finance or Real Estate.
What you will be doing: - Executing financial analyses and conducting…",3 years,Eyzenberg & Company,Homeoffice,1 week ago
Project Manager Generative AI (f/m/x),"Experience in building strong project initiatives and executing their mission.
Project management, ideally leadership experience with diverse project teams.","Experience in building strong project initiatives and executing their mission.
Project management, ideally leadership experience with diverse project teams.",1 year,BMW,München,7 days ago
Working student (f/m/d) Data Engineer,"Experience with ETL/ELT tools for data integration is a plus.
If you are also interested in or already have experience with railroad projects, you are the ideal…","Experience with ETL/ELT tools for data integration is a plus.
If you are also interested in or already have experience with railroad projects, you are the ideal…",5+ years,Siemens,13629 Berlin,2 days ago
Electrical/Mechanical Engineer – R&D graduate entry (m/f/d),"Develop mechanical components or electronic modules, design electronic circuitsor embedded software.
Design new user interface concepts for IoT devices or…","Develop mechanical components or electronic modules, design electronic circuitsor embedded software.
Design new user interface concepts for IoT devices or…",3+ years,Procter & Gamble,Kronberg,2 weeks ago
Senior IT Project Manager (f|m|x),"Using modern project methods, some of them agile, in all project phases, you supervise and manage a national/international project team.","Using modern project methods, some of them agile, in all project phases, you supervise and manage a national/international project team.",5+ years,ACTICO,Homeoffice,2 weeks ago
Project Lead / Design Manager - Data Center (m/f/d),"You will ideally have a background as an engineer in building services, HVAC, architect or project manager with at least 10 years of experience.","You will ideally have a background as an engineer in building services, HVAC, architect or project manager with at least 10 years of experience.",3 years,Arup,Homeoffice in Frankfurt am Main,1 week ago
IT Project Manager,"A basic understanding of Lucene based search platforms as Elasticsearch or Apache Solr.
Collaborating with software developers, product managers, QA and DevOps…","A basic understanding of Lucene based search platforms as Elasticsearch or Apache Solr.
Collaborating with software developers, product managers, QA and DevOps…",4 year,Digital Science,Homeoffice,2 weeks ago
Partnerships Project Manager,Bachelor’s and/or Master’s in Management or any related field; or equivalent related professional Leadership experience in a product development or product…,Bachelor’s and/or Master’s in Management or any related field; or equivalent related professional Leadership experience in a product development or product…,5 year,TUI,Zum Teil im Homeoffice in Deutschland,2 weeks ago
Junior Data Analyst (m/w/d) - remote deutschlandweit,"Als Preismarktführer mit einem extrem großen Produktsortiment wachsen wir rasant.
Der wichtigste Grund für unseren stetigen Erfolg sind jedoch unsere über 500…","Als Preismarktführer mit einem extrem großen Produktsortiment wachsen wir rasant.
Der wichtigste Grund für unseren stetigen Erfolg sind jedoch unsere über 500…",6 year,WIRmachenDRUCK GmbH,"Belgium, Germany, Netherlands, Poland, UK",2 days ago
Content Writer (m/w/d),"Übersetzung bestehender Texte vom Englischen ins Deutsche.
Sicherstellung der Konsistenz in allen deutschen Kommunikationsformaten.","Übersetzung bestehender Texte vom Englischen ins Deutsche.
Sicherstellung der Konsistenz in allen deutschen Kommunikationsformaten.",1 year,DataGuard,"Belgium, Germany, Netherlands, Poland, UK",2 weeks ago
Marketing Analyst (m/f/d),"German or Austrian residency and EU work permit is required.
Build our marketing intelligence infrastructure by setting up our data warehouse.","German or Austrian residency and EU work permit is required.
Build our marketing intelligence infrastructure by setting up our data warehouse.",2 years,WBS Gruppe,Homeoffice,3 days ago
Project Manager (f/m/d) Corporate Strategy,"You initiate and coordinate corporate initiatives and programs and provide content for their communication.
Excellent know-how in consulting/strategic project…","You initiate and coordinate corporate initiatives and programs and provide content for their communication.
Excellent know-how in consulting/strategic project…",3 years,Siemens,80333 München,1 week ago
DIGITAL PROJECT MANAGER (M/W/D),"Experience in project coordination or eCommerce logistics, ideally in a direct-to-consumer industry.
Review Power Bi report daily for any delayed omnichannel…","Experience in project coordination or eCommerce logistics, ideally in a direct-to-consumer industry.
Review Power Bi report daily for any delayed omnichannel…",4 years,Louis Vuitton,München,2 days ago
(JUNIOR) PROJECT MANAGER FOCUS ON EVENT OPERATIONS (M/W/D).,"Unser Herz brennt für strategisches Consulting und innovative Event-Konzepte.
Unsere rund 110 Mitarbeiter konzipieren digitale, hybride und Live-Meetings,…","Unser Herz brennt für strategisches Consulting und innovative Event-Konzepte.
Unsere rund 110 Mitarbeiter konzipieren digitale, hybride und Live-Meetings,…",5 years,Proske GmbH,"Belgium, Germany, Netherlands, Poland, UK",3 days ago
Data Engineer (m/w/d) 100 % Remote,You scrutinise the existing data processing processes and data structures (data warehouses/data lakes) and contribute your ideas for improvement.,You scrutinise the existing data processing processes and data structures (data warehouses/data lakes) and contribute your ideas for improvement.,6 years,Cloudrizon GmbH,Homeoffice in Ulm,3 hours ago
Marketing Analyst (m/f/d),"Build our marketing intelligence infrastructure by setting up our data warehouse.
At least 2+ years of experience as Marketing Analyst or Business Analyst.","Build our marketing intelligence infrastructure by setting up our data warehouse.
At least 2+ years of experience as Marketing Analyst or Business Analyst.",7 years,WBS CODING SCHOOL,Homeoffice,6 days ago
Data Analyst (w/m/x),"Ihr Fokus liegt dabei im Cluster Data Analytics.
Zusammen mit den späteren Anwendern gestalten Sie Data Analytics Anwendungen zur Analyse und Vereinfachung von…","Ihr Fokus liegt dabei im Cluster Data Analytics.
Zusammen mit den späteren Anwendern gestalten Sie Data Analytics Anwendungen zur Analyse und Vereinfachung von…",8 years,BMW,Regensburg,2 weeks ago
Working student (f/m/d) in project management coordination incl. data and documentation management,"Current studies in project management, IT engineer, economy or comparable.
First IT and project management knowledge.
How You’ll Make an Impact.","Current studies in project management, IT engineer, economy or comparable.
First IT and project management knowledge.
How You’ll Make an Impact.",9 years,Siemens Energy,60528 Frankfurt am Main,3 days ago
Technical Project Manager (m/f/d),"Take the lead on the technical conversations with our data source partners.
Experience integrating and maintaining SAP and/or Salesforce Commerce Cloud…","Take the lead on the technical conversations with our data source partners.
Experience integrating and maintaining SAP and/or Salesforce Commerce Cloud…",5 years,Productsup,Homeoffice in 10178 Berlin,1 week ago
Customer Success Manager – Remote or Berlin,"Founded experience working in a Customer Success, Account Management, or another client-facing role.
Build relationships with customers to understand their…","Founded experience working in a Customer Success, Account Management, or another client-facing role.
Build relationships with customers to understand their…",3 years,Mentor Talent,Homeoffice,2 days ago
(Junior) Data Engineer (w/m/d),Wir sind ein interdisziplinär aufgestelltes Team und führen selbstorganisiert und agil Beratung auf Basis der Digitalisierungsstrategien durch.,Wir sind ein interdisziplinär aufgestelltes Team und führen selbstorganisiert und agil Beratung auf Basis der Digitalisierungsstrategien durch.,4 years,Deutsche Bahn AG,60486 Frankfurt am Main,1 week ago
Senior Project Manager - Data Centre,"Have experience project managing on a data centre project.
Have a degree or comparable experience in a project management or construction discipline.","Have experience project managing on a data centre project.
Have a degree or comparable experience in a project management or construction discipline.",5 years,Linesight,Deutschland,2 days ago
FTTx Project Manager,"Strong ability to develop and maintain project plans & financial plans.
Oversee or delegate day-to-day operations, assign and track performance goals, while…","Strong ability to develop and maintain project plans & financial plans.
Oversee or delegate day-to-day operations, assign and track performance goals, while…",6 years,Connect44,Homeoffice in Düsseldorf,1 day ago
Corporate Analyst - Explorer Graduate Programme - 2023,"Be motivated with a strong degree or expected degree – in any area.
Our Corporate Banking team helps large-scale, multinational organisations succeed and grow.","Be motivated with a strong degree or expected degree – in any area.
Our Corporate Banking team helps large-scale, multinational organisations succeed and grow.",7 years,Barclays,Frankfurt am Main,1 week ago
Project Manager (m/w/d) Souveränes Europa,"Die Bertelsmann Stiftung ist eine der größten operativen Stiftungen in Europa.
Auf der Basis dieser Analyse werden Handlungsempfehlungen zur Weiterentwicklung…","Die Bertelsmann Stiftung ist eine der größten operativen Stiftungen in Europa.
Auf der Basis dieser Analyse werden Handlungsempfehlungen zur Weiterentwicklung…",8 years,Bertelsmann Stiftung,10115 Berlin,3 hours ago
Operations/ Project Manager,The remuneration for the position includes a shares package.,The remuneration for the position includes a shares package.,9 years,VaRc Gmbh,Vorübergehend im Homeoffice in Berlin,1 week ago
PagoNxt: Data Business Analyst,"University degree in computer science, engineering or mathematics or equivalent work experience.
Responsible for various aspects of KPI data analysis, research,…","University degree in computer science, engineering or mathematics or equivalent work experience.
Responsible for various aspects of KPI data analysis, research,…",5+ years,Santander,Deutschland,2 days ago
Data Analyst within the Innovation Portfolio Management,"Safe handling of data analysis tools.
Preparation and structuring of various types of data in preparation for optimized decision-making processes.","Safe handling of data analysis tools.
Preparation and structuring of various types of data in preparation for optimized decision-making processes.",3 years,Volkswagen AG,Wolfsburg,2 days ago
Senior Clinical Data Manager,"Leads the development of data management, data analysis and reporting systems throughout clinical studies satisfying project timeline and study requirements…","Leads the development of data management, data analysis and reporting systems throughout clinical studies satisfying project timeline and study requirements…",1 year,Qiagen,Homeoffice,1 week ago
International Project Manager (m/f/d),"You have a degree in mining or civil engineering or a comparable qualification.
Ensuring that the project is delivered on time and within budget.","You have a degree in mining or civil engineering or a comparable qualification.
Ensuring that the project is delivered on time and within budget.",5+ years,THYSSEN SCHACHTBAU GMBH,45473 Mülheim an der Ruhr,2 weeks ago
CREATOR/INFLUENCER MANAGER*IN (M/W/D),"Wir sind eine schnell wachsende Marketing-/ Kommunikationsagentur mit Fokus auf Family Brands.
Du übernimmst die Planung und Organisation von öffentlichen…","Wir sind eine schnell wachsende Marketing-/ Kommunikationsagentur mit Fokus auf Family Brands.
Du übernimmst die Planung und Organisation von öffentlichen…",3+ years,reachartists,Homeoffice,2 weeks ago
Product Development Engineer Graduate Program,"Amcor is a global leader in developing and producing responsible packaging for food, beverage, pharmaceutical, medical, home- and personal-care, and other…","Amcor is a global leader in developing and producing responsible packaging for food, beverage, pharmaceutical, medical, home- and personal-care, and other…",5+ years,Amcor,Singen (Hohentwiel),3 hours ago
German Multimedia Content Editor (Remote - Europe),"Report on data and/or assets across a broad scope of media and content types.
Copy-edit and fact check the content to ensure accuracy of the content.","Report on data and/or assets across a broad scope of media and content types.
Copy-edit and fact check the content to ensure accuracy of the content.",3 years,Welocalize,Homeoffice,7 days ago
"Creative Project Manager, Europe (f/m/d)","Identify and mitigate project risks, and manage project issues as they arise.
Bachelor's degree in project management, business administration, or a related…","Identify and mitigate project risks, and manage project issues as they arise.
Bachelor's degree in project management, business administration, or a related…",5+ years,Delivery Hero,Berlin,2 days ago
Project Manager (junior),"You create mock-ups and/or click dummies and/or wireframes.
You consult with the project manager and determine the order of priorities in cooperation with the…","You create mock-ups and/or click dummies and/or wireframes.
You consult with the project manager and determine the order of priorities in cooperation with the…",3 years,artcom venture GmbH,Berlin,1 week ago
Global Capital & Energy Purchasing Manager – Graduate Entry (m/f/d),"Bachelor's or Master's in economics, business administration or industrial engineering (having marketing/innovation education background is a plus).","Bachelor's or Master's in economics, business administration or industrial engineering (having marketing/innovation education background is a plus).",1 year,Procter & Gamble,Kronberg,3 weeks ago
Backend / Data Engineer (f/m/d),"Mit unseren Produkten schaffen wir die Grundlage für die Mobilität der Zukunft sowie für die Mobilen Online-Dienste.
Sehr gute Kenntnisse in Python und SQL.","Mit unseren Produkten schaffen wir die Grundlage für die Mobilität der Zukunft sowie für die Mobilen Online-Dienste.
Sehr gute Kenntnisse in Python und SQL.",5+ years,Volkswagen AG,Hannover,2 weeks ago
Starte deine Zukunft im Siemens Graduate Program Germany für SiemensMobility (w/m/d),"Als Teil des Siemens Graduate Program kannst du deine Karriere gemeinsam mit uns verwirklichen.
Im Rahmen des Siemens Graduate Programm erwarten dich zwei…","Als Teil des Siemens Graduate Program kannst du deine Karriere gemeinsam mit uns verwirklichen.
Im Rahmen des Siemens Graduate Programm erwarten dich zwei…",3+ years,Siemens,91058 Erlangen,6 days ago
Secondary English Teacher - Full time,"We're looking for someone to join our team right away! To apply for this role, please complete our MIS Employment Application Form, save it as a PDF, and…","We're looking for someone to join our team right away! To apply for this role, please complete our MIS Employment Application Form, save it as a PDF, and…",5+ years,Metropolitan International School,68519 Viernheim,1 week ago
Project Manager,"Unser Unternehmen entwickelt und transformiert sich von Jahr zu Jahr.
Wir interessieren uns für neue Enthusiasten, die sich wie wir entwickeln und…","Unser Unternehmen entwickelt und transformiert sich von Jahr zu Jahr.
Wir interessieren uns für neue Enthusiasten, die sich wie wir entwickeln und…",3 years,dotcom Ventures GmbH,Homeoffice,2 days ago
Rights Data Manager (w/m/d),"Du analysierst Auftragsproduktions- und Lizenzverträge.
Du bist verantwortlich für die transparente Rechtedarstellung dieser Verträge in unserer Rechte…","Du analysierst Auftragsproduktions- und Lizenzverträge.
Du bist verantwortlich für die transparente Rechtedarstellung dieser Verträge in unserer Rechte…",5+ years,RTL Deutschland GmbH,50679 Köln,2 days ago
Senior Data Engineer (f/m/x),University degree in computer science or a related technical field with a focus on data intensive applications.,University degree in computer science or a related technical field with a focus on data intensive applications.,3 years,BMW,Ulm,1 week ago
Junior Project Manager,"You should ideally be familiar with (agile) project management.
You assist in the creation, full implementation, and global rollout of new digital solutions in…","You should ideally be familiar with (agile) project management.
You assist in the creation, full implementation, and global rollout of new digital solutions in…",1 year,MAM Gruppe,Düsseldorf,1 week ago
"Sr. Manager, LCA Content","Ensure that any external project like PCF mapping projects and data on demand (DoD) for internal or external customers is delivered on time, in budget and…","Ensure that any external project like PCF mapping projects and data on demand (DoD) for internal or external customers is delivered on time, in budget and…",5+ years,Sphera Solutions,Stuttgart,4 weeks ago
Senior Data Analyst / Data Engineer (all genders),"University degree in Computer Science, Mathematics, Statistics or Information Systems or equivalent experience with a focus on data.","University degree in Computer Science, Mathematics, Statistics or Information Systems or equivalent experience with a focus on data.",3+ years,TeamViewer,Bremen,3 weeks ago
Senior Project Manager (m/f/d) 1,"Understanding of the B2B market and experience in (technical) leadership of teams and/or project teams.
Independent project management and E2E responsibility…","Understanding of the B2B market and experience in (technical) leadership of teams and/or project teams.
Independent project management and E2E responsibility…",5+ years,Telefonica,Homeoffice in 22297 Hamburg,1 week ago
Data Science Intern (M/F/X),"Work with structured and semi-structured data from multiple data sources (Google BigQuery, MongoDB, Mixpanel).
Flat hierarchies and transparent communication.","Work with structured and semi-structured data from multiple data sources (Google BigQuery, MongoDB, Mixpanel).
Flat hierarchies and transparent communication.",3 years,KptnCook,Homeoffice in 12051 Berlin,2 days ago
Career Starter [Graduate] for Analytics & Data Management (f/m/d),"Analysing critical customer situations including performance, scalability, custom-code and implementation design within service delivery or Mission Critical…","Analysing critical customer situations including performance, scalability, custom-code and implementation design within service delivery or Mission Critical…",1 year,SAP,68789 Sankt Leon-Rot,1 week ago
Technical Content Writer (m/f/d),"2+ years experience as technical writer.
Work alongside our cross functional product teams and other stakeholders to ensure content expertise and documentation…","2+ years experience as technical writer.
Work alongside our cross functional product teams and other stakeholders to ensure content expertise and documentation…",5+ years,Riverty Group GmbH,10623 Berlin,6 days ago
Software Project Manager (m/w/d),"Verantwortliche Leitung unserer Kundenprojekte hinsichtlich Budgets, Terminen und Qualität.
Erstellen der Projektplanung in Abstimmung mit Kunden und internen…","Verantwortliche Leitung unserer Kundenprojekte hinsichtlich Budgets, Terminen und Qualität.
Erstellen der Projektplanung in Abstimmung mit Kunden und internen…",3+ years,Schulz Group GmbH,Ravensburg,2 days ago
Junior Project Manager (all genders),"Unterstützung des Projektmanagers oder Senior Projektmanagers bei der komplexen Schnittstellenkoordination zwischen Kunde, Design und eigener Produktion.","Unterstützung des Projektmanagers oder Senior Projektmanagers bei der komplexen Schnittstellenkoordination zwischen Kunde, Design und eigener Produktion.",5+ years,LIGANOVA GmbH,10785 Berlin,1 day ago
IT-Project Manager Digital Twin Platform Strategy (w/m/x),"Praktische Erfahrung im Bereich Cloud-Plattformen (e.g., AWS, GCP, Microsoft Azure) sowie mit Datenbanken, relational bzw.","Praktische Erfahrung im Bereich Cloud-Plattformen (e.g., AWS, GCP, Microsoft Azure) sowie mit Datenbanken, relational bzw.",3 years,BMW,München,5 days ago
Freelance Project Manager - BMS,Freelance Project Manager BMS (Battery Management Systems) - Onsite and remote working - Up to €90p/h - Initial 6 months + extensions.,Freelance Project Manager BMS (Battery Management Systems) - Onsite and remote working - Up to €90p/h - Initial 6 months + extensions.,1 year,Source Group International,Köln,3 weeks ago
Content Writer (Part-time),"Proven Content Writing or Copywriting experience.
Maintain a content calendar to streamline communication month on month.
Writing copy for the website.","Proven Content Writing or Copywriting experience.
Maintain a content calendar to streamline communication month on month.
Writing copy for the website.",5+ years,ZFW Dark Stores,Berlin,2 weeks ago
Project Manager (f/m/d),"You have successfully completed university studies with a focus on marketing or a comparable major.
Helping to craft PowerPoint & Keynote presentations; from…","You have successfully completed university studies with a focus on marketing or a comparable major.
Helping to craft PowerPoint & Keynote presentations; from…",3+ years,Ogilvy Germany,Berlin,3 weeks ago
Project Manager,"Werde Teil unseres internationalen Teams und erfinde die Welt mit uns.
Du behältst den Überblick über die Projekte und kannst die Kunden immer über den…","Werde Teil unseres internationalen Teams und erfinde die Welt mit uns.
Du behältst den Überblick über die Projekte und kannst die Kunden immer über den…",5+ years,Viamedici Software GmbH,Ettlingen,1 week ago
Project Manager (m/f/d),"You will work closely with customer project leaders and managers, bearing responsibility for quality of content and ensuring that the most important milestones…","You will work closely with customer project leaders and managers, bearing responsibility for quality of content and ensuring that the most important milestones…",3 years,E.On,Essen,2 weeks ago
Banking Analyst - Expert Graduate Programme - 2023,"Be motivated with a strong degree or expected degree – in any area.
After several weeks of intensive training to start, you’ll join one of our industry, product…","Be motivated with a strong degree or expected degree – in any area.
After several weeks of intensive training to start, you’ll join one of our industry, product…",2-5 years,Barclays,Frankfurt am Main,2 weeks ago
IT Project Manager (m/f/d),"Degree in Business Administration, Economic or equivalent.
Conduct project reviews and create reports for the management.","Degree in Business Administration, Economic or equivalent.
Conduct project reviews and create reports for the management.",0 year,Société Générale,Frankfurt am Main,1 week ago
Senior Project Rollout Manager (m/f/d),"Bachelor's degeree in business adminstration or architecture, alternatively commercial or project management training or equivalent background.","Bachelor's degeree in business adminstration or architecture, alternatively commercial or project management training or equivalent background.",2-4+ years,C&A,Homeoffice in 40468 Düsseldorf,3 weeks ago
AM Project Engineer – On-Demand Production Venture (*),"Three to five years in the project / product management space or comparable experiences.
Experience in engineering application in the industry, favourably in…","Three to five years in the project / product management space or comparable experiences.
Experience in engineering application in the industry, favourably in…",1 year,DB Schenker,Essen,2 weeks ago
Medical Project Manager,"Practical experience in project management, knowledge and application of common project management methods.
Ensuring project quality throughout all stages.","Practical experience in project management, knowledge and application of common project management methods.
Ensuring project quality throughout all stages.",1 year,Cast Pharma,Homeoffice in Dresden,2 weeks ago
Junior Project Manager (m/w/d) Marketing,"*JOB BIKE:* Bleibe fit mit unserem Angebot eines Jobrads.
*DISCOUNTS*: Nutze unsere Corporate Benefits Plattform, die Travel Industry Card und Family & Friends…","*JOB BIKE:* Bleibe fit mit unserem Angebot eines Jobrads.
*DISCOUNTS*: Nutze unsere Corporate Benefits Plattform, die Travel Industry Card und Family & Friends…",3+ years,roadsurfer GmbH,Zum Teil im Homeoffice in 80797 München,1 month ago
Graduate Project Management Automotive (m/w/d),Unser Graduate Program richtet sich an Absolventinnen und Absolventen mit einem Hochschulabschluss (Bachelor oder Master Technologie- oder wirtschaftsbezogene…,Unser Graduate Program richtet sich an Absolventinnen und Absolventen mit einem Hochschulabschluss (Bachelor oder Master Technologie- oder wirtschaftsbezogene…,5+ years,Cognizant,Wolfsburg,1 month ago
Content Writer (f / m / d) in Berlin or remote,"Independent support for projects with content writing and copywriting.
Your responsibilities include conducting thorough research on industry-related topics,…","Independent support for projects with content writing and copywriting.
Your responsibilities include conducting thorough research on industry-related topics,…",7 years,TechBehemoths,Homeoffice in Berlin,2 weeks ago
EU Project Manager for Research Data Management (m/f/d),"Experience in project management of national and international scientific projects related to data management.
Support partners in managing sensor’s metadata.","Experience in project management of national and international scientific projects related to data management.
Support partners in managing sensor’s metadata.",1 year,Alfred-Wegener-Institut für Polar- und...,Bremerhaven,3 weeks ago
Network Engineer (m/f/d),"Completed technical university studies or comparable training.
CISCO CCNP certification or comparable certification from other manufacturers is an advantage.","Completed technical university studies or comparable training.
CISCO CCNP certification or comparable certification from other manufacturers is an advantage.",2 year,C&A,Homeoffice in 40468 Düsseldorf,1 week ago
Data Engineer:in,"Du kannst dir aussuchen, ob du größtenteils remote oder von unserem Bürostandort Frankfurt am Main arbeiten möchtest.","Du kannst dir aussuchen, ob du größtenteils remote oder von unserem Bürostandort Frankfurt am Main arbeiten möchtest.",1 year,Deutsche Bahn AG,60486 Frankfurt am Main,6 days ago
Junior Project Manager (m/w/d),Werde als Junior Project Manager (m/w/d) Teil der Händlerbund Management AG und unterstütze uns mit deinen Erfahrungen und kreativen Ideen in der Neu- und…,Werde als Junior Project Manager (m/w/d) Teil der Händlerbund Management AG und unterstütze uns mit deinen Erfahrungen und kreativen Ideen in der Neu- und…,5+ years,Händlerbund,Homeoffice,1 week ago
Site Engineer Data Center Europe,"The role relates to the civil structural and architectural aspects of the project.
They are heavily involved in the construction of Data Centers and require…","The role relates to the civil structural and architectural aspects of the project.
They are heavily involved in the construction of Data Centers and require…",3+ years,KCM Recruitment Ltd.,Frankfurt am Main,3 weeks ago
Junior Technical Writer (m/f/d),"You have a degree in technical writing (FH, University) or comparable training and/or have gained initial work experience in information development.","You have a degree in technical writing (FH, University) or comparable training and/or have gained initial work experience in information development.",5+ years,IGEL Technology,Homeoffice,4 weeks ago
Junior Data Engineer / Business Analyst (w/m/d),"Zum nächstmöglichen Zeitpunkt suchen wir dich, zunächst befristet bis zum 31.03.2025, als Junior Data Engineer / Business Analyst (w/m/d) für die DB Vertrieb…","Zum nächstmöglichen Zeitpunkt suchen wir dich, zunächst befristet bis zum 31.03.2025, als Junior Data Engineer / Business Analyst (w/m/d) für die DB Vertrieb…",3 years,Deutsche Bahn AG,60486 Frankfurt am Main,3 weeks ago
Project Manager (m/f/x),"As an experienced project manager, you have project experience in requirements engineering and test management.
You have native German language skills.","As an experienced project manager, you have project experience in requirements engineering and test management.
You have native German language skills.",5-8 years,AbAKUS IT Solutions,Stuttgart,1 week ago
Senior Project Engineer,"Degree educated or equivalent in an engineering discipline.
Prepare sound financial justifications and detailed project execution plans.","Degree educated or equivalent in an engineering discipline.
Prepare sound financial justifications and detailed project execution plans.",1 year,STADA Arzneimittel AG,Bad Vilbel,2 weeks ago
Business & Data Analyst,"3+ years experience in business analysis role in cross-functional agile software delivery team, data analysis with large and complex data sets and data science…","3+ years experience in business analysis role in cross-functional agile software delivery team, data analysis with large and complex data sets and data science…",1-2/2-3 years,Solera,Homeoffice,2 weeks ago
Content Creation Manager (m/f/d) 80 - 100%,"Bachelor or master’s degree in Journalism, Creative Writing, Communications, or Marketing.
Support the entire research, writing and editorial process, by…","Bachelor or master’s degree in Journalism, Creative Writing, Communications, or Marketing.
Support the entire research, writing and editorial process, by…",1 year,Schindler,Berlin,2 weeks ago
Project Manager Automotive (m/w/d),Sie leiten fachlich ein interdisziplinäres Projektteam und übernehmen die komplette Projektverantwortung als Hauptansprechpartner für den Kunden.,Sie leiten fachlich ein interdisziplinäres Projektteam und übernehmen die komplette Projektverantwortung als Hauptansprechpartner für den Kunden.,6-8 years,Groupe FSD,76275 Ettlingen,2 weeks ago
Project Manager PMO (m/w/d),"You are also supporting the project managers when it comes to data maintenance.
You are providing needs-based support for project managers and project teams on…","You are also supporting the project managers when it comes to data maintenance.
You are providing needs-based support for project managers and project teams on…",2 years,VSB Holding GmbH,Dresden,6 days ago
Content writer with an SEO focus,"Therefore, we build tech products and tools to enable artists to manage and promote themselves in a more efficient way and to match clients and artists with…","Therefore, we build tech products and tools to enable artists to manage and promote themselves in a more efficient way and to match clients and artists with…",3 years,Book a Street Artist,Homeoffice,2 hours ago
Data Science Graduate Program,"Leverage new data sources and integrate traditional structured data with raw data.
In the a sence of an adequacy decision or suitable guarantees for ensuring an…","Leverage new data sources and integrate traditional structured data with raw data.
In the a sence of an adequacy decision or suitable guarantees for ensuring an…",1 year,Bertelsmann SE & Co. KGaA - Corporate Center,33311 Gütersloh,2 days ago
IT Project Manager (f/m/d),"Coaching on the project teams and mentoring of project managers.
You also lead several agile teams according to safe scaled agile framework and manage all…","Coaching on the project teams and mentoring of project managers.
You also lead several agile teams according to safe scaled agile framework and manage all…",3 years,Siemens,81739 München,3 days ago
Project Manager,"Employing company tools such as CRM or TMS to gain maximum advantage from them.
At least five years’ experience in project cargo freight forwarding, including…","Employing company tools such as CRM or TMS to gain maximum advantage from them.
At least five years’ experience in project cargo freight forwarding, including…",5+ Years,deugro group,Homeoffice in Hamburg,2 days ago
Project Manager - Data-driven Innovation (m/w/x),"You will be responsible for driving forward your own projects and lead an interdisciplinary project team with data scientists, data engineers and developers in…","You will be responsible for driving forward your own projects and lead an interdisciplinary project team with data scientists, data engineers and developers in…",3+ years,ZEISS Group,München,2 weeks ago
Interim Manager: PMO / Multi-Project Manager (m/w/d) P00281,"Our client, an automotive supplier, is looking for a highly experienced PMO to lead a transformation project with 5 subprojects.","Our client, an automotive supplier, is looking for a highly experienced PMO to lead a transformation project with 5 subprojects.",3-6 years,GLONETPARTNERS,90403 Nürnberg,2 hours ago
Digital Content Manager ‏ (d/f/m),"Degree qualified or demonstratable experience in relevant field.
PMP Certification or demonstratable experience in Project Management.","Degree qualified or demonstratable experience in relevant field.
PMP Certification or demonstratable experience in Project Management.",1-3 Years,Henkel,Düsseldorf,2 days ago
Project Manager People & Organization (m/f/d),"At least 3 years of shown experience in a consulting firm, start-up, or fast-paced environment.
You can independently and optimally lead and support cross…","At least 3 years of shown experience in a consulting firm, start-up, or fast-paced environment.
You can independently and optimally lead and support cross…",2 years,Viessmann Group (DE),Berlin,2 weeks ago
Data analyst H/F,Having a bachelor or a master specialized in Data Analyst or equivalent (first month of VIE program can be equivalent to your end of project studies).,Having a bachelor or a master specialized in Data Analyst or equivalent (first month of VIE program can be equivalent to your end of project studies).,5+ years,FAYAT GROUPE,Boppard,2 weeks ago
Staff Verification Engineer – System IP,"Familiarity with the Arm AMBA specifications or other bus protocols.
Experience of block level RTL design and verification for non-trivial ASIC (or FPGA)…","Familiarity with the Arm AMBA specifications or other bus protocols.
Experience of block level RTL design and verification for non-trivial ASIC (or FPGA)…",2 years,Arm,Grasbrunn,2 days ago
PRODUCT DATA MANAGER:IN (all genders),"Du übernimmst die Verwaltung unserer gelebten Artikel und Produkte.
Du beobachtest den Markt und reagierst auf Veränderungen und Tendenzen auf den verschiedenen…","Du übernimmst die Verwaltung unserer gelebten Artikel und Produkte.
Du beobachtest den Markt und reagierst auf Veränderungen und Tendenzen auf den verschiedenen…",2 years,Cybertrading,Homeoffice in 39179 Barleben,2 weeks ago
Junior Data Strategist (m/f/d),"Been part of a data project end-to-end, from data cleaning to data integration, modelling, and productizing.
In doing so, we will jointly increase data literacy…","Been part of a data project end-to-end, from data cleaning to data integration, modelling, and productizing.
In doing so, we will jointly increase data literacy…",2 years,ZEISS Group,München,2 hours ago
Information Security Project Manager for Unstructured Data Access (m/f/x),Leading the UDA operations team that runs the day-to-day detection and remediation of unrestricted access to sensitive data.,Leading the UDA operations team that runs the day-to-day detection and remediation of unrestricted access to sensitive data.,2 years,Deutsche Bank,Eschborn,3 days ago
Reservoir Engineer (m/w/d),"Identifizierung und Entwicklung von Möglichkeiten zur Optimierung der Fördervolumen.
Regelmäßige vom Unternehmen gesponserte Team-Events.","Identifizierung und Entwicklung von Möglichkeiten zur Optimierung der Fördervolumen.
Regelmäßige vom Unternehmen gesponserte Team-Events.",2 years,ExxonMobil,Hannover,2 weeks ago
(Junior) Strategic Project Manager Pinterest (m/f/d),"First relevant experience in Marketing or Social Media.
A degree in Business, Marketing, Statistics or similar field.
Fluent language skills in English.","First relevant experience in Marketing or Social Media.
A degree in Business, Marketing, Statistics or similar field.
Fluent language skills in English.",2 years,Westwing Home & Living GmbH,München,7 days ago
